ISBN,Book-Title,Book-Author,Author l-f,Additional Authors,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Added
1844262553,???? [Dabali],Rajeshwar Devkota,"Devkota, Rajeshwar",???????? ???????,0,???? ???????,Paperback,128,,,12/5/2022
385199570,???????? ???????? [Sipahiki Swasni],Mahesh Bikram Shah,"Shah, Mahesh Bikram",?????????? ???,3.48,Samagra Prakashan,Paperback,202,,,12/5/2022
877017883,???? ??? [Sajha Katha],Bhairab Aryal,"Aryal, Bhairab",???? ??????,3.7,???? ???????,Paperback,222,2010,1968,12/5/2022
439136350,??????? ????? [Utsarga Prem],Rajeshwar Devkota,"Devkota, Rajeshwar",???????? ???????,2,???? ???????,Paperback,101,,,12/5/2022
439139597,??????? [Samantar],Ishwor Ballav,"Ballav, Ishwor",??????????,3.5,???? ???????,Paperback,152,,,12/5/2022
156528207,??? [Kahar],Janakraj Sapkota,"Sapkota, Janakraj",?????? ???????,4.07,We Read,Paperback,238,2016,,12/5/2022
039480001X,?? ????? [Jaya Bhundi],Bhairab Aryal,"Aryal, Bhairab",???? ??????,4.29,Ratna Pustak Bhandar,Paperback,92,,1965,12/5/2022
590353403,??????? ??? [Bichar Ko Laas],Dhruba Sapkota,"Sapkota, Dhruba",????? ???????,0,Shikha Books,Paperback,269,,,12/5/2022
345272579,????????? ???? [Chhapamar ko Chhoro],Mahesh Bikram Shah,"Shah, Mahesh Bikram",?????????? ???,3.74,Sajha Prakashan,Paperback,124,2007,2006,12/5/2022
043935806X,??????? [Tathakathit],Dhruba Chandra Gautam,"Gautam, Dhruba Chandra",??????????? ????,3.5,???? ???????,Paperback,206,2005,2002,12/5/2022
811801802,??????? [Bhuiyan],Yagnesh,"Yagnesh, Yagnesh",?????,4.22,FinePrint,Hardcover,190,2017,,12/5/2022
312853238,??????? [Andhakar],Dhruba Sapkota,"Sapkota, Dhruba",????? ???????,3,???? ???????,Paperback,220,,2003,12/5/2022
679785892,???????? ?????,Pradeep Chapagain,"Chapagain, Pradeep",,5,Shabdahar Creation,Paperback,97,2015,2015,12/5/2022
446677450,?? ????? [Yo Prem],Gopal Prasad Rimal,"Rimal, Gopal Prasad",??????????? ?????,3.93,???? ???????,Paperback,71,,,12/5/2022
618129022,??????? ??? [Dharahara ko Sahar],Pradeep Nepal,"Nepal, Pradeep",?????? ?????,0,???? ???????,Paperback,112,,,12/5/2022
894808249,???????? ???????? ????????? [Samjhana ma Fakrieka Thungaharu],Rochak Ghimire,"Ghimire, Rochak",???? ??????,4,???? ???????,Paperback,107,,,12/5/2022
553348981,Take The Lead Nepal's Future Has Begun,Anil Chitrakar,"Chitrakar, Anil",,3.74,Kathalaya Publication,Kindle Edition,169,2013,2013,12/5/2022
439064872,?????? [Aawartan],Rajeshwar Devkota,"Devkota, Rajeshwar",???????? ???????,3,???? ???????,Paperback,56,,,12/5/2022
375756981,??????? [Barbarik],Pradeep Nepal,"Nepal, Pradeep",?????? ?????,3.29,???????? ?????????,Paperback,154,,,12/5/2022
671027344,???? ???. ? [Pipe No. 2],Bhawani Bhikshu,"Bhikshu, Bhawani",????? ??????,3.25,???? ???????,Paperback,84,,,12/5/2022
142000663,???? ?????? [Mero Manchhe],Madhav Prasad Pokharel,"Pokharel, Madhav Prasad",?????????? ??????,4,???? ???????,Paperback,184,,,12/5/2022
